lineID,site,year,rep,phenoValue
66,STBN_2013_CSSRI_CT,2013,2,3511
58,STBN_2013_CSSRI_CT,2013,2,3400
56,STBN_2013_CSSRI_CT,2013,2,4356
15,STBN_2013_CSSRI_CT,2013,3,3644
67,STBN_2013_CSSRI_CT,2013,1,4933
59,STBN_2013_CSSRI_CT,2013,2,6240
21,STBN_2013_CSSRI_CT,2013,3,3089
70,STBN_2013_CSSRI_CT,2013,2,4267
57,STBN_2013_CSSRI_CT,2013,2,2912
25,STBN_2013_CSSRI_CT,2013,1,4428
23,STBN_2013_CSSRI_CT,2013,2,3689
48,STBN_2013_CSSRI_CT,2013,2,2778
21,STBN_2013_CSSRI_CT,2013,1,1911
10,STBN_2013_CSSRI_CT,2013,1,3467
19,STBN_2013_CSSRI_CT,2013,2,2792
15,STBN_2013_CSSRI_CT,2013,1,5527
11,STBN_2013_CSSRI_CT,2013,2,2756
68,STBN_2013_CSSRI_CT,2013,2,3600
68,STBN_2013_CSSRI_CT,2013,3,2733
56,STBN_2013_CSSRI_CT,2013,1,3867
60,STBN_2013_CSSRI_CT,2013,2,3733
62,STBN_2013_CSSRI_CT,2013,3,3000
65,STBN_2013_CSSRI_CT,2013,1,4476
61,STBN_2013_CSSRI_CT,2013,2,3711
58,STBN_2013_CSSRI_CT,2013,3,3200
67,STBN_2013_CSSRI_CT,2013,3,3667
12,STBN_2013_CSSRI_CT,2013,3,4111
13,STBN_2013_CSSRI_CT,2013,2,3022
65,STBN_2013_CSSRI_CT,2013,2,3867
12,STBN_2013_CSSRI_CT,2013,2,2556
45,STBN_2013_CSSRI_CT,2013,1,2644
47,STBN_2013_CSSRI_CT,2013,2,3512
22,STBN_2013_CSSRI_CT,2013,1,2140
70,STBN_2013_CSSRI_CT,2013,1,4489
14,STBN_2013_CSSRI_CT,2013,1,3067
22,STBN_2013_CSSRI_CT,2013,2,3468
3,STBN_2013_CSSRI_CT,2013,1,4224
65,STBN_2013_CSSRI_CT,2013,3,2858
56,STBN_2013_CSSRI_CT,2013,3,4178
25,STBN_2013_CSSRI_CT,2013,2,3156
25,STBN_2013_CSSRI_CT,2013,3,3467
47,STBN_2013_CSSRI_CT,2013,3,3404
19,STBN_2013_CSSRI_CT,2013,1,3608
46,STBN_2013_CSSRI_CT,2013,1,4535
61,STBN_2013_CSSRI_CT,2013,1,3200
61,STBN_2013_CSSRI_CT,2013,3,3622
21,STBN_2013_CSSRI_CT,2013,2,3067
20,STBN_2013_CSSRI_CT,2013,1,2583
48,STBN_2013_CSSRI_CT,2013,3,2778
68,STBN_2013_CSSRI_CT,2013,1,5533
13,STBN_2013_CSSRI_CT,2013,1,946
10,STBN_2013_CSSRI_CT,2013,3,3133
64,STBN_2013_CSSRI_CT,2013,2,3467
62,STBN_2013_CSSRI_CT,2013,1,6556
13,STBN_2013_CSSRI_CT,2013,3,3644
67,STBN_2013_CSSRI_CT,2013,2,3933
23,STBN_2013_CSSRI_CT,2013,3,3911
60,STBN_2013_CSSRI_CT,2013,1,4330
23,STBN_2013_CSSRI_CT,2013,1,3400
63,STBN_2013_CSSRI_CT,2013,3,3378
63,STBN_2013_CSSRI_CT,2013,2,3444
20,STBN_2013_CSSRI_CT,2013,2,3080
64,STBN_2013_CSSRI_CT,2013,1,3644
58,STBN_2013_CSSRI_CT,2013,1,3600
62,STBN_2013_CSSRI_CT,2013,2,3644
3,STBN_2013_CSSRI_CT,2013,3,1953
24,STBN_2013_CSSRI_CT,2013,1,3044
59,STBN_2013_CSSRI_CT,2013,1,560
47,STBN_2013_CSSRI_CT,2013,1,3497
24,STBN_2013_CSSRI_CT,2013,2,3667
45,STBN_2013_CSSRI_CT,2013,3,2244
11,STBN_2013_CSSRI_CT,2013,1,3844
70,STBN_2013_CSSRI_CT,2013,3,4444
22,STBN_2013_CSSRI_CT,2013,3,3667
11,STBN_2013_CSSRI_CT,2013,3,3000
10,STBN_2013_CSSRI_CT,2013,2,2867
24,STBN_2013_CSSRI_CT,2013,3,3689
20,STBN_2013_CSSRI_CT,2013,3,3204
63,STBN_2013_CSSRI_CT,2013,1,4378
57,STBN_2013_CSSRI_CT,2013,3,3267
14,STBN_2013_CSSRI_CT,2013,3,3400
46,STBN_2013_CSSRI_CT,2013,2,2960
14,STBN_2013_CSSRI_CT,2013,2,3200
46,STBN_2013_CSSRI_CT,2013,3,2768
48,STBN_2013_KLRS,2013,2,3265
21,STBN_2013_KLRS,2013,1,3150
23,STBN_2013_KLRS,2013,3,3215
22,STBN_2013_KLRS,2013,3,2245
64,STBN_2013_KLRS,2013,2,2498
21,STBN_2013_KLRS,2013,2,3368
19,STBN_2013_KLRS,2013,3,2788
13,STBN_2013_KLRS,2013,3,2178
